# No. of        No. of        No. of basis       No. of shells
# alpha MOs     beta MOs      f'ns in each
   6              5               43                  23
# L,  exponent,     coefficient
1  5.52621000e-01 -1.65975475e-16
1  1.88720000e-01  2.43742287e-16
1  1.88720000e-01  6.11238915e-16
1  1.88720000e-01  2.38419555e-16
1  4.65010000e-02  1.27008254e-15
1  4.65010000e-02  2.73532787e-15
1  4.65010000e-02  5.49292219e-16
1  1.62850000e-02  3.52781196e-16
1  1.62850000e-02  1.00142817e-15
1  1.62850000e-02  2.61973674e-16
1  8.00000000e-03 -3.44111835e-16
1  8.00000000e-03 -1.11654207e-17
1  8.00000000e-03 -1.34247460e-16
0  3.61664000e+04  3.91142395e-04
0  5.37258000e+03  3.06160445e-03
0  1.21321000e+03  1.60082433e-02
0  3.39623000e+02  6.41988805e-02
0  1.09553000e+02  1.94899664e-01
0  3.87773000e+01  4.01045401e-01
0  1.45759000e+01  3.92505075e-01
0  5.26993000e+00  8.34104421e-02
0  1.82777000e+00 -4.04493111e-03
0  6.19948000e-01  4.63162778e-03
0  3.57228000e-01 -2.38270052e-03
0  6.18610000e-02  3.93342522e-04
0  2.42950000e-02 -1.72835381e-04
1  1.44645000e+02 -1.75039051e-16
1  1.44645000e+02  7.84359232e-17
1  1.44645000e+02  2.85367240e-17
1  3.39074000e+01  1.26453314e-16
1  3.39074000e+01 -1.39661713e-17
1  3.39074000e+01 -1.64280656e-16
1  1.06285000e+01  2.30301557e-16
1  1.06285000e+01  1.48837919e-16
1  1.06285000e+01  1.76490713e-16
1  3.82389000e+00 -4.83087128e-16
1  3.82389000e+00 -1.48608615e-16
1  3.82389000e+00 -3.64224438e-16
1  1.44429000e+00  4.39964186e-16
1  1.44429000e+00  6.47971116e-17
1  1.44429000e+00  3.88342430e-16
1  5.52621000e-01 -2.45018390e-16
1  5.52621000e-01 -6.22522112e-17
1  5.52621000e-01 -5.92007809e-17
1  1.88720000e-01  7.77835630e-17
1  1.88720000e-01  5.20477740e-17
1  1.88720000e-01  6.28841043e-17
1  4.65010000e-02  1.62482445e-17
1  4.65010000e-02  1.90923171e-17
1  4.65010000e-02 -1.40251656e-16
1  1.62850000e-02  1.64112942e-17
1  1.62850000e-02 -7.32619325e-17
1  1.62850000e-02  1.92832462e-16
1  8.00000000e-03 -7.19315194e-18
1  8.00000000e-03 -1.44929013e-17
1  8.00000000e-03 -1.08921413e-16
0  3.61664000e+04 -9.56696933e-05
0  5.37258000e+03 -7.46381619e-04
0  1.21321000e+03 -3.96137400e-03
0  3.39623000e+02 -1.61134430e-02
0  1.09553000e+02 -5.30675892e-02
0  3.87773000e+01 -1.27776165e-01
0  1.45759000e+01 -1.99042726e-01
0  5.26993000e+00  3.35223151e-02
0  1.82777000e+00  5.99558264e-01
0  6.19948000e-01  4.80157278e-01
0  3.57228000e-01  5.53886228e-03
0  6.18610000e-02  1.40862420e-02
0  2.42950000e-02 -5.97290912e-03
1  1.44645000e+02 -1.04130089e-16
1  1.44645000e+02  2.01007640e-16
1  1.44645000e+02  1.13040725e-16
1  3.39074000e+01 -2.34938434e-16
1  3.39074000e+01 -4.17807879e-16
1  3.39074000e+01 -3.11412446e-18
1  1.06285000e+01  1.65450628e-16
1  1.06285000e+01  2.74090143e-16
1  1.06285000e+01 -1.96004124e-16
1  3.82389000e+00  3.20917624e-17
1  3.82389000e+00 -1.53381377e-16
1  3.82389000e+00 -1.42840677e-16
1  1.44429000e+00 -8.16932483e-17
1  1.44429000e+00 -1.27910763e-16
1  1.44429000e+00  2.89167860e-16
1  5.52621000e-01 -1.46792281e-16
1  5.52621000e-01 -7.06546579e-17
1  5.52621000e-01 -2.70950781e-16
1  1.88720000e-01  3.68769968e-17
1  1.88720000e-01  2.92226577e-16
1  1.88720000e-01  2.25647952e-16
1  4.65010000e-02 -8.91674723e-17
1  4.65010000e-02 -1.85290014e-16
1  4.65010000e-02 -1.40338159e-16
1  1.62850000e-02  2.39262560e-16
1  1.62850000e-02  2.37972422e-17
1  1.62850000e-02  1.43927014e-16
1  8.00000000e-03 -8.80624113e-17
1  8.00000000e-03 -1.52051304e-16
1  8.00000000e-03 -1.05686307e-16
0  3.61664000e+04 -9.61551701e-20
0  5.37258000e+03  1.61201723e-18
0  1.21321000e+03 -4.55699293e-19
0  3.39623000e+02 -1.25862914e-17
0  1.09553000e+02 -3.87831009e-17
0  3.87773000e+01  3.05640665e-17
0  1.45759000e+01  5.04638277e-18
0  5.26993000e+00 -1.24828396e-16
0  1.82777000e+00  2.04018491e-16
0  6.19948000e-01  5.18745963e-17
0  3.57228000e-01 -9.19458945e-17
0  6.18610000e-02 -3.62243283e-16
0  2.42950000e-02  7.14127573e-16
1  1.44645000e+02 -9.61787617e-04
1  1.44645000e+02  1.97975318e-03
1  1.44645000e+02  4.89395503e-03
1  3.39074000e+01 -6.89626585e-03
1  3.39074000e+01  1.41953421e-02
1  3.39074000e+01  3.50909227e-02
1  1.06285000e+01 -2.67735481e-02
1  1.06285000e+01  5.51109372e-02
1  1.06285000e+01  1.36234381e-01
1  3.82389000e+00 -5.87189376e-02
1  3.82389000e+00  1.20867644e-01
